,Id,SalePrice
0,1461,120022.61605309251
1,1462,172307.30545219613
2,1463,183061.57442546845
3,1464,201930.3092764739
4,1465,196502.61339293895
5,1466,171898.91533268965
6,1467,183405.9144474097
7,1468,162911.74092468197
8,1469,193421.92559570316
9,1470,123088.62122005764
10,1471,170715.83189903785
11,1472,100917.91018197344
12,1473,98407.78191304834
13,1474,148904.05388585172
14,1475,122437.6655146745
15,1476,363250.37749899324
16,1477,250230.11322287764
17,1478,301617.98908158747
18,1479,292884.5780451706
19,1480,551604.0033165774
20,1481,329430.5578192869
21,1482,210856.2577912833
22,1483,173571.04177804865
23,1484,164729.2342735556
24,1485,183648.87303504042
25,1486,188802.41478132436
26,1487,341226.6923972725
27,1488,227809.98035993928
28,1489,193999.63609905398
29,1490,243630.69702109523
30,1491,190369.96003219803
31,1492,89976.5081876127
32,1493,177186.40265588718
33,1494,281492.3603890114
34,1495,287098.3354681834
35,1496,234399.50035184782
36,1497,178974.14497637536
37,1498,180944.55311425627
38,1499,167514.95915979767
39,1500,160152.04177458133
40,1501,174483.29135616202
41,1502,150533.01789717027
42,1503,92020.75079040111
43,1504,247154.21299724374
44,1505,232331.43770675696
45,1506,188263.37749598906
46,1507,256531.00600868053
47,1508,198642.15977147632
48,1509,153522.1746427314
49,1510,146925.22189152567
50,1511,162557.9882630997
51,1512,177151.84177240636
52,1513,143594.4873490009
53,1514,155634.34282219844
54,1515,187537.94280072488
55,1516,149052.36517389075
56,1517,161795.47956484262
57,1518,129827.82559711719
58,1519,213594.85955775238
59,1520,129111.97743917925
60,1521,131725.6374147311
61,1522,169302.91997228036
62,1523,117794.69620765459
63,1524,123491.19657586311
64,1525,119525.75009517063
65,1526,109871.54529087381
66,1527,109018.32069433558
67,1528,129362.01577122137
68,1529,158166.3001820017
69,1530,206368.6118693266
70,1531,114110.40438579308
71,1532,91330.94408404293
72,1533,151541.40328858737
73,1534,108069.35339369722
74,1535,144767.21575306184
75,1536,109040.42352825147
76,1537,71471.74926133495
77,1538,146252.4807399516
78,1539,188719.94044341578
79,1540,78300.30532562146
80,1541,140867.24945884832
81,1542,146629.57373449774
82,1543,184491.64382078522
83,1544,84296.34374169189
84,1545,116172.02587819513
85,1546,138306.42115963585
86,1547,131789.40862050504
87,1548,135212.05186175482
88,1549,121962.99757162435
89,1550,137776.686761416
90,1551,100109.5677325653
91,1552,142837.3093426672
92,1553,138678.14291493903
93,1554,123030.41475481317
94,1555,159829.24323344367
95,1556,27339.655695586367
96,1557,113814.85950627393
97,1558,106668.14081564367
98,1559,879189.6421212611
99,1560,127698.27111681498
100,1561,120707.83270874778
101,1562,137533.0937314019
102,1563,123732.34625505056
103,1564,162652.73405369514
104,1565,151405.80300290868
105,1566,236711.0768860036
106,1567,80867.10664385097
107,1568,243804.82099651793
108,1569,142721.5060189664
109,1570,132642.9515426482
110,1571,109863.52952174167
111,1572,142741.60628965846
112,1573,233777.95983942936
113,1574,114268.05610446107
114,1575,232960.2138663982
115,1576,236550.2645986137
116,1577,179149.0098215181
117,1578,140490.86051068016
118,1579,144409.61454203314
119,1580,191673.52065473644
120,1581,155446.0109170392
121,1582,128957.67939614279
122,1583,303670.6763597177
123,1584,219592.1387391762
124,1585,139220.291752213
125,1586,80250.58033831484
126,1587,109090.19196428929
127,1588,151322.66387399426
128,1589,99797.2461231551
129,1590,129740.39467733276
130,1591,94539.90838329696
131,1592,116117.27956416346
132,1593,123374.61070550104
133,1594,44624.57905785039
134,1595,126862.20323151363
