Id,SalePrice
1461,123807.26427419946
1462,147735.64738731133
1463,185619.72626164445
1464,197224.30066003272
1465,182604.414669688
1466,178937.10132300202
1467,175672.7684584338
1468,169102.9362506306
1469,183767.71826186668
1470,128486.11125665638
1471,188527.6166311829
1472,97623.38989542233
1473,97547.65524085925
1474,159638.75247856078
1475,115232.12473224396
1476,357210.7375499474
1477,243346.37632895517
1478,292950.4084953079
1479,286116.86715185305
1480,465888.5707431273
1481,313492.34266637877
1482,201911.55974455827
1483,182235.12721802376
1484,167923.6546035275
1485,176035.05526847814
1486,193934.26424408972
1487,320006.9313947441
1488,231875.31064508855
1489,193405.25251121417
1490,232803.8368573439
1491,192713.82157775256
1492,92792.5191006119
1493,184187.7727939862
1494,280732.17661687103
1495,284810.07695334614
1496,239479.28737665183
1497,189667.15646025114
1498,163757.38677284922
1499,160524.61214059734
1500,162020.86372684062
1501,181984.6722838625
1502,153369.92056987778
1503,263074.0145429434
1504,232635.96538595238
1505,226990.3159243855
1506,180493.22582139197
1507,248858.6299479744
1508,193623.2717509531
1509,155388.94028375112
1510,147417.24360697338
1511,148144.29607248536
1512,178842.1370645482
1513,141627.69777627918
1514,146396.90041846546
1515,216357.39911844456
1516,156109.19492307198
1517,148578.90101672272
1518,140217.95186703862
1519,220250.63891937688
1520,132309.16739080107
1521,133767.71803508507
1522,174851.02739994836
1523,119659.9486798918
1524,117563.13095083131
1525,124093.39769131356
1526,121380.81167121012
1527,110902.19954895247
1528,123541.46857151594
1529,143459.69671917285
1530,170097.99887060432
1531,134743.38077879246
1532,99131.67241107697
1533,141162.7151098725
1534,116149.37440216664
1535,147389.40333622217
1536,112764.12885723039
1537,82214.9024221095
1538,135149.2326567455
1539,188856.92192291666
1540,107317.04211227645
1541,140874.58371718478
1542,139816.74699635178
1543,188302.97887207512
1544,85043.74525569985
1545,107375.82422607974
1546,128581.28111928828
1547,134832.20540718877
1548,133193.29971626095
1549,117417.82306307738
1550,147278.61022641844
1551,111007.7159770343
1552,160163.686211519
1553,142282.34155899097
1554,114144.03841114539
1555,161624.03233632285
1556,86028.99349314606
1557,110920.28117867085
1558,89135.64899600044
1559,111950.05880346411
1560,140834.26516376497
1561,143884.1624339452
1562,125066.40352612961
1563,120286.48525309908
1564,157403.88604025278
1565,154019.14924778088
1566,219952.28303673927
1567,87025.08937742504
1568,219058.1514248256
1569,149507.70119243942
1570,126419.59637801522
1571,127839.5735491176
1572,138878.13624105326
1573,235849.2905106474
1574,117462.44613597417
1575,222677.533268311
1576,248472.3298828348
1577,189838.9790829884
1578,139261.0851030934
1579,154285.85338439106
1580,187403.8449133871
1581,142433.9159440904
1582,128485.59460081419
